"sep=;";;
Body Part;Exam Description;Full Protocol
PEDIATRIC MANDIBLE;XR Mandible 1-3 Views;<a href="https://drive.google.com/file/d/1hV5Jji6tWFcmVlpQHUt_cUI2b1AKVCNP/view?usp=drive_link" target="_blank">PEDIATRIC MANDIBLE</a>
PEDIATRIC ORBITS;XR Eye Foreign Body Bil<br>XR Eye Foreign Body Lt<br>XR Eye Foreign Body Rt<br>XR Orbits 4+ Views;<a href="https://drive.google.com/file/d/1NV9UoGSQ0TWiW3L6pQSfIhKy09rfVDFA/view?usp=drive_link" target="_blank">PEDIATRIC ORBITS</a>
PEDIATRIC PELVIS;XR Pelvis 1-2 Views;<a href="https://drive.google.com/file/d/1wpSBba4EvYFb-6fiJ6CtFU59HJ7pSXLr/view?usp=drive_link" target="_blank">PEDIATRIC PELVIS</a>
PEDIATRIC RIBS;XR Ribs 2 Views Lt<br>XR Ribs 2 Views Rt<br>XR Ribs w PA Chest 3+ Views Lt<br>XR Ribs w PA Chest 3+ Views Rt<br>XR Ribs 3 Views Bil<br>XR Ribs w PA Chest 4+ Views Bil;<a href="https://drive.google.com/file/d/1YDmJowj8SXdE3_I0Bawcsmks2wri0skO/view?usp=drive_link" target="_blank">PEDIATRIC RIBS</a>
PEDIATRIC SCAPULA;XR Scapula Complete Bil<br>XR Scapula Complete Lt<br>XR Scapula Complete Rt;<a href="https://drive.google.com/file/d/1K4vpNI9SsXHrNmT2Hg_dssO8COz2Vg1x/view?usp=drive_link" target="_blank">PEDIATRIC SCAPULA</a>
PEDIATRIC SCOLIOSIS;XR Scoliosis Spine 1 View;<a href="https://drive.google.com/file/d/1pNoEP-UbE4acdrRH6lnfZlU8T7i8D0bb/view?usp=drive_link" target="_blank">PEDIATRIC SCOLIOSIS</a>
PEDIATRIC SHOULDER;XR Shoulder 2+ Views Bil<br>XR Shoulder 2+ Views Lt<br>XR Shoulder 2+ Views Rt;<a href="https://drive.google.com/file/d/1anUhvsWXHgWSctX5gCe93C8kwElmMnWJ/view?usp=drive_link" target="_blank">PEDIATRIC SHOULDER</a>
PEDIATRIC SINUS;XR Sinuses 1-2 Views;<a href="https://drive.google.com/file/d/1O4PYz8_OGCvjvRIkOxrNduCKwPiobgIV/view?usp=drive_link" target="_blank">PEDIATRIC SINUS</a>
PEDIATRIC SKULL;XR Skull 1-3 Views;<a href="https://drive.google.com/file/d/1s_KM6JBFq_rir4dfPbGGapbOMJ8dI9hB/view?usp=drive_link" target="_blank">PEDIATRIC SKULL</a>
PEDIATRIC SOFT TISSUE NECK;XR Neck Soft Tissue;<a href="https://drive.google.com/file/d/1MbKRFXIUGA1DGokRAuMsb-BJ41TWIO8j/view?usp=drive_link" target="_blank">PEDIATRIC SOFT TISSUE NECK</a>
